sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
DL01,DL,Annual,1,363,1 year,5,6,287,287,18.21445021,0.945098535,3.814449642,41.3896849,6,0.774507098,0.67399269,0.063464983,0.224263373,0.306435879,0.134831461,0.26344428,5724,0.134831461,0.054901465,0.238569712,0.993288099,2.059552966,0.109862672,0.549313358
DL02,DL,Annual,2,363,1 year,5,7,229,229,9.209463539,0.891416042,3.561222795,33.83880948,7,0.688513513,0.655392895,0.040215998,0.235759172,0.329369495,0.311238212,0.360399006,9142,0.311238212,0.108583958,0.175807715,0.994092753,2.059942042,0.098491812,0.37902155
DL03,DL,Annual,3,363,1 year,10,11,337,337,33.43971967,0.970095443,4.332281342,50.10533277,13,0.908078228,0.744367631,0.099227655,0.235393575,0.351352265,0.11037607,0.172646868,4605,0.11037607,0.029904557,0.208144579,0.990217203,2.059801552,0.130389971,0.656360106
DL04,DL,Annual,4,363,1 year,5,7,467,467,33.64605358,0.970278832,4.568540767,69.73420348,15,0.860762416,0.743295807,0.072047224,0.242523524,0.366214376,0.106586296,0.19735839,6012,0.106586296,0.029721168,0.21615105,0.986195266,2.060838099,0.175551813,0.656732559
DL05,DL,Annual,5,363,1 year,6,8,356,356,23.2001998,0.956896923,4.190228394,56.67998167,9,0.906879211,0.713238774,0.065169101,0.273130607,0.359281818,0.135516956,0.229015715,4096,0.135516956,0.043103077,0.186732837,0.98979685,2.060953197,0.146071133,0.510537634
DL06,DL,Annual,6,363,1 year,6,7,364,364,17.52544347,0.942940103,4.073228315,55.27361735,8,0.916631308,0.690710876,0.048146823,0.270816091,0.356331968,0.153095929,0.296864059,6122,0.153095929,0.057059897,0.166249875,0.989865856,2.060983127,0.156096829,0.611908573
DL07,DL,Annual,7,363,1 year,5,7,201,201,14.32142557,0.930174549,3.55376225,30.2905915,5,0.999784122,0.670103325,0.071250873,0.250997144,0.336077193,0.153866181,0.307124881,3546,0.153866181,0.069825451,0.183068645,0.99471054,2.06083535,0.092380456,0.56165929
DL08,DL,Annual,8,363,1 year,7,8,282,282.05,22.77436876,0.956090989,3.962023022,41.85012303,8,0.853358755,0.702248898,0.080760173,0.226940256,0.321465289,0.125545542,0.20795783,4430,0.125545542,0.043909011,0.279175877,0.992898554,2.060517443,0.100974891,0.599047781
DL09,DL,Annual,9,363,1 year,7,8,308,308,24.39113072,0.959001491,4.21876694,47.71724662,12,0.922241841,0.73624668,0.079191983,0.261994267,0.368761801,0.154631005,0.22618458,4683,0.154631005,0.040998509,0.226382698,0.990558876,2.060636084,0.119762259,0.58976391
DL10,DL,Annual,10,363,1 year,5,7,284,284,20.13457293,0.950334184,4.068736023,43.91349144,9,0.962847147,0.720261034,0.070896384,0.274447346,0.375480758,0.120819161,0.240469104,3410,0.120819161,0.049665816,0.231363379,0.991062236,2.060990954,0.140589569,0.730761054
