"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"1","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","067423285143316ca11b1f177cf5a3d7"
"2","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rubicundus","396e774ea4c0c6b00306523c80abc983"
"3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","48d4c0cd8f365b8156984c8191ba3918"
"4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_amarissima","85ee501ad5fa83980ab1400b58eafb8e"
"5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unidentified","unidentified","c89b746b9cb32a8382555859e0eb5682"
"6","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rubicundus","8bb58c8b6d6c43cd89ecfffdfc7a10db"
"7","Fungi","Mucoromycota","Mucoromycotina_cls_Incertae_sedis","Mucoromycotina_ord_Incertae_sedis","Mucoromycotina_fam_Incertae_sedis","Bifiguratus","unidentified","3c949d3c20f2348a47ecf22a20fdb718"
"8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_variicolor","343c519dfc1b76808b191b9a148c4178"
"9","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","unidentified","unidentified","73eb2af6cbc22e76b358d581e7de5150"
"10","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"55889226c066782b085659681abf1787"
"11","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rubicundus","59049df23e1280af321e007b186fb441"
"12","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","cf119c2b2773fecf38f5392cd13491cd"
"13","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","unidentified","unidentified","08f84004a9a0b88ae8b0fe25a149d715"
"14","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","unidentified","unidentified","unidentified","bb5dc4b22a411541d0edc8f54dd89fac"
"15","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_cladosporioides","0e556d288fed546a942042bee562053c"
"16","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_amarissima","3827456f839255ce6abc3720c55943fe"
"17","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae",NA,NA,"606cfed6920e543b190a1aa79dff9ba4"
"18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae",NA,NA,"b759ee8098f536738031ac99f441736b"
"19","Fungi","Ascomycota",NA,NA,NA,NA,NA,"038230ef2580612e675b959834adecf6"
"20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia_lateralis","cea2d323efffe30135cdeb019cd64288"
"21","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta_cipronana","f6e67d6b36a4b9a60fc285dbb7ecf285"
"22","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_populiphila","d562b554e6c7ec961ee2b41edfe834bb"
"23","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae",NA,NA,"fffe841a34f5d10d475c5c55836b1f82"
"24","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","unidentified","unidentified","unidentified","9fb2e259c327d57db22c53340eb49521"
"25","Fungi","Mucoromycota","Mucoromycotina_cls_Incertae_sedis","Mucoromycotina_ord_Incertae_sedis","Mucoromycotina_fam_Incertae_sedis","Bifiguratus","unidentified","12a6ca0b3b890a1dfd81fcc8ead05579"
"26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_nigricans","6ea28d95eb45beec30c6f24c8fe2fcc1"
"27","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae",NA,NA,"9dc75ac4029c28df13f1ea8112a16a5c"
"28","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","unidentified","336b38eea624fc7b18d178cb31b754ab"
"29","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora","1d7bf1d48ebddd07efcd858cef93ce42"
