"species","s.Annual","s.Maintenance","index","stat","p.value","Annual","Maintenance"
"RUCU",0,1,2,0.79555728417573,0.001,1.72727272727273,2.4
"CHNC",0,1,2,0.723993554299116,0.001,1.5,2.17647058823529
"SCCI",0,1,2,0.737711113563317,0.001,1.30769230769231,1.28
"ACGR",0,1,2,0.82138095100061,0.001,1,1.04545454545455
"RHCO",0,1,2,0.605530070819498,0.002,0,1.63636363636364
"GAPI",0,1,2,0.609449400220044,0.003,1,1.08333333333333
"TEFL",1,0,1,0.530330085889911,0.005,1.66666666666667,1
"CEVI",0,1,2,0.516397779494322,0.005,0,1.375
"HOPR",0,1,2,0.658280588604383,0.006,1.14285714285714,1.52941176470588
"DIVR",0,1,2,0.530330085889911,0.006,1,1.66666666666667
"PIGR",1,0,1,0.755928946018454,0.007,2.53333333333333,2.19230769230769
"STBI",1,0,1,0.719374728496908,0.007,1.17391304347826,1
"HYWR",1,0,1,0.667591950479991,0.009,1,1
"RHTO",0,1,2,0.447213595499958,0.016,0,2
"SPCL",0,1,2,0.447213595499958,0.02,0,1.5
"TOPU",0,1,2,0.447213595499958,0.021,0,1.83333333333333
"VISE",0,1,2,0.467099366496914,0.022,2,1.125
"DECI",1,0,1,0.467707173346743,0.024,2.14285714285714,1
"PAVI",0,1,2,0.447213595499958,0.026,0,2
"DIG3",0,1,2,0.654047229011619,0.03,1.90909090909091,1.57142857142857
"DELI",1,0,1,0.620752231839188,0.04,2,1.77777777777778
