sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
DL01,DL,Annual,1,363,1 year,5,6,1049,1054.714286,280.6222655,0.996436491,6.330423664,206.7784427,141,0.88396614,0.91011996,0.267514076,0.460582628,0.598303093,0.017861497,0.035204828,586,0.017861497,0.003563509,0.316904414,0.975274927,2.028083,0.576627652,0.609058766
DL02,DL,Annual,2,363,1 year,5,7,1483,1535.403226,285.5025517,0.996497404,6.539751306,288.2799215,165,0.730617669,0.895632761,0.192516893,0.419613354,0.569009041,0.021775408,0.041373275,1070,0.021775408,0.003502596,0.313789735,0.967928089,2.031711865,0.63571981,0.618258781
DL03,DL,Annual,3,363,1 year,10,11,1370,1392.685185,378.7837543,0.997359971,6.627002928,273.2384994,195,0.813755554,0.917541343,0.276484492,0.473731829,0.60725383,0.017112221,0.033073835,699,0.017112221,0.002640029,0.224662162,0.966869919,2.032113615,0.669114767,0.716289659
DL04,DL,Annual,4,363,1 year,5,7,1202,1221.758065,235.5635373,0.995754861,6.323416999,232.1589133,132,0.787453495,0.891659186,0.195976321,0.423240233,0.564437086,0.029109129,0.048710742,1191,0.029109129,0.004245139,0.347623121,0.974324896,2.031382239,0.579274105,0.595771722
DL05,DL,Annual,5,363,1 year,6,8,1387,1424.878788,308.4344143,0.99675782,6.520582739,275.2828275,162,0.745399591,0.901268043,0.222375209,0.435904026,0.577070874,0.01989,0.035536485,839,0.01989,0.00324218,0.311151676,0.969229657,2.037076798,0.616376654,0.6224693
DL06,DL,Annual,6,363,1 year,6,7,1385,1398.961538,195.1122118,0.994874744,6.320623185,260.8067445,123,0.726605111,0.873804125,0.140875243,0.422199062,0.537997856,0.034699355,0.056512553,1823,0.034699355,0.005125256,0.368121514,0.972426042,2.025276591,0.583017683,0.574928146
DL07,DL,Annual,7,363,1 year,5,7,1359,1386.428571,257.207937,0.996112095,6.424258456,266.6260715,146,0.740513472,0.890464277,0.189262647,0.419003696,0.561919374,0.020191065,0.039066827,875,0.020191065,0.003887905,0.33897914,0.971206524,2.030230281,0.608062581,0.594148052
DL08,DL,Annual,8,363,1 year,7,8,1360,1390.816667,291.5227287,0.996569736,6.510007538,270.9210789,168,0.762015741,0.902257937,0.214354948,0.447381904,0.582171205,0.021155451,0.040740195,862,0.021155451,0.003430264,0.301747411,0.969374599,2.033144231,0.641510823,0.630785844
DL09,DL,Annual,9,363,1 year,7,8,1391,1411.642857,388.7056092,0.997427359,6.634275129,277.4402707,197,0.789588643,0.916617635,0.279443285,0.465906156,0.605747224,0.015844306,0.029469927,657,0.015844306,0.002572641,0.256909275,0.966682403,2.030722301,0.664351517,0.674697342
DL10,DL,Annual,10,363,1 year,5,7,900,915.5740741,248.5751849,0.995977072,6.155726443,180.3883173,115,0.956693742,0.904935197,0.27619465,0.440481145,0.588901605,0.018665653,0.034290059,491,0.018665653,0.004022928,0.346588101,0.979378995,2.037222897,0.538110625,0.606994868
DL11,DL,Maintenance,11,63,2 months,7,9,1317,1342.928571,255.2453894,0.996082202,6.43071128,255.6693905,149,0.709337048,0.89525425,0.193808192,0.451546763,0.57128488,0.028143658,0.045462832,1235,0.028143658,0.003917798,0.327058931,0.971150556,2.027875057,0.605350713,0.600519575
DL12,DL,Maintenance,12,63,2 months,12,13,1623,1648.806452,431.9863962,0.997685112,6.772124009,319.0078361,222,0.775368987,0.916138405,0.26616537,0.460063891,0.596611836,0.016529408,0.031170298,849,0.016529408,0.002314888,0.242119814,0.961724147,2.02507097,0.698129003,0.699491852
DL13,DL,Maintenance,13,63,2 months,8,9,1447,1482.629032,288.993965,0.99653972,6.535168489,281.181063,170,0.764592905,0.898027487,0.199719395,0.436616667,0.576287326,0.018972447,0.037424246,911,0.018972447,0.00346028,0.280067476,0.967995148,2.026457921,0.635629048,0.653872587
DL14,DL,Maintenance,14,63,2 months,9,11,1575,1631.18,460.7211952,0.99782949,6.788833285,319.29853,235,0.798957283,0.922143922,0.292521394,0.468954367,0.611365725,0.013709531,0.025827574,603,0.013709531,0.00217051,0.220284649,0.96140117,2.029681497,0.734448891,0.723876864
DL15,DL,Maintenance,15,63,2 months,9,12,1766,1812.340426,479.2376047,0.997913352,6.850002903,353.4263447,239,0.800390117,0.916207879,0.271368972,0.429860146,0.592935892,0.01550104,0.027381961,805,0.01550104,0.002086648,0.202572595,0.958994288,2.031288446,0.709138874,0.743549257
DL16,DL,Maintenance,16,63,2 months,7,9,1305,1325.512821,263.8260708,0.996209624,6.452992066,255.4150242,157,0.736779029,0.899502308,0.202165571,0.44294003,0.583356839,0.027907973,0.047893222,1173,0.027907973,0.003790376,0.3170517,0.97062999,2.031811601,0.623254265,0.623206681
DL17,DL,Maintenance,17,63,2 months,9,11,961,975,310.3272209,0.996777595,6.31259487,191.3358067,145,0.907812968,0.919134885,0.322921146,0.450020454,0.611053566,0.018472309,0.033998752,533,0.018472309,0.003222405,0.271158245,0.976485132,2.019700868,0.570631455,0.683128856
DL18,DL,Maintenance,18,63,2 months,9,11,1321,1339.05,302.6540876,0.996695898,6.46696356,257.2883357,152,0.737391227,0.899921194,0.229109832,0.430501636,0.576256002,0.016514269,0.030840454,717,0.016514269,0.003304102,0.329962918,0.970919642,2.030111338,0.60907018,0.604463689
DL19,DL,Maintenance,19,63,2 months,6,8,1061,1078.818182,285.8591331,0.996501773,6.338340018,206.6581449,140,0.908114198,0.909770334,0.269424254,0.449110523,0.594450698,0.023031694,0.039323103,803,0.023031694,0.003498227,0.274315216,0.97518421,2.022179912,0.576394665,0.652201348
DL20,DL,Maintenance,20,63,2 months,9,11,1410,1438.015152,285.1711327,0.996493334,6.513528317,275.9932798,165,0.746206531,0.89825106,0.20224903,0.442509558,0.579086983,0.021346433,0.038815703,969,0.021346433,0.003506666,0.308256598,0.968688969,2.0313498,0.635436401,0.640569238
FOJ01,FOJ,Annual,1,362,1 year,6,7,1613,1639.265625,292.5618679,0.99658192,6.61244874,312.8798179,183,0.719079962,0.895285956,0.181377475,0.44496553,0.572306294,0.019434039,0.037607091,1048,0.019434039,0.00341808,0.303842302,0.964873681,2.024622594,0.657920113,0.633034158
FOJ02,FOJ,Annual,2,362,1 year,6,7,1003,1015.019231,224.5386314,0.995546423,6.215990322,199.8949174,125,0.865515705,0.899466717,0.22386703,0.458659837,0.586283742,0.027437906,0.048441407,823,0.027437906,0.004453577,0.335622604,0.977247621,2.036920985,0.56336056,0.577862977
FOJ03,FOJ,Annual,3,362,1 year,5,7,1332,1355.210526,178.7115213,0.99440439,6.276669551,253.9327613,121,0.663497749,0.872433754,0.134167809,0.416843759,0.544988366,0.0317828,0.059809261,1523,0.0317828,0.00559561,0.362319748,0.973176435,2.028950944,0.587553997,0.566017655
FOJ04,FOJ,Annual,4,362,1 year,5,7,1267,1294.38,276.4581958,0.996382817,6.44495159,250.7377321,159,0.733710228,0.902097463,0.21819905,0.455690679,0.587830938,0.019671206,0.037316304,767,0.019671206,0.003617183,0.31581647,0.971146402,2.034091267,0.619681465,0.615065015
