sample-id	barcode-sequence	field-site	plot	fire-frequency
#q2:types	categorical	categorical	categorical	categorical
DL01		DL	plot-1	Annual
DL02		DL	plot-2	Annual
DL03		DL	plot-3	Annual
DL04		DL	plot-4	Annual
DL05		DL	plot-5	Annual
DL06		DL	plot-6	Annual
DL07		DL	plot-7	Annual
DL08		DL	plot-8	Annual
DL09		DL	plot-9	Annual
DL10		DL	plot-10	Annual
DL11		DL	plot-11	Maintenance
DL12		DL	plot-12	Maintenance
DL13		DL	plot-13	Maintenance
DL14		DL	plot-14	Maintenance
DL15		DL	plot-15	Maintenance
DL16		DL	plot-16	Maintenance
DL17		DL	plot-17	Maintenance
DL18		DL	plot-18	Maintenance
DL19		DL	plot-19	Maintenance
DL20		DL	plot-20	Maintenance
FOJ01		FOJ	plot-1	Annual
FOJ02		FOJ	plot-2	Annual
FOJ03		FOJ	plot-3	Annual
FOJ04		FOJ	plot-4	Annual
FOJ05		FOJ	plot-5	Annual
FOJ06		FOJ	plot-6	Annual
FOJ07		FOJ	plot-7	Annual
FOJ08		FOJ	plot-8	Annual
FOJ09		FOJ	plot-9	Annual
FOJ10		FOJ	plot-10	Annual
FOJ11		FOJ	plot-11	Maintenance
FOJ12		FOJ	plot-12	Maintenance
FOJ13		FOJ	plot-13	Maintenance
FOJ14		FOJ	plot-14	Maintenance
FOJ15		FOJ	plot-15	Maintenance
FOJ16		FOJ	plot-16	Maintenance
FOJ17		FOJ	plot-17	Maintenance
FOJ18		FOJ	plot-18	Maintenance
FOJ19		FOJ	plot-19	Maintenance
FOJ20		FOJ	plot-20	Maintenance
TOA01		TOA	plot-1	Annual
TOA02		TOA	plot-2	Annual
TOA03		TOA	plot-3	Annual
TOA04		TOA	plot-4	Annual
TOA05		TOA	plot-5	Annual
TOA06		TOA	plot-6	Annual
TOA07		TOA	plot-7	Annual
TOA08		TOA	plot-8	Annual
TOA09		TOA	plot-9	Annual
TOA10		TOA	plot-10	Annual
TOA11		TOA	plot-11	Maintenance
TOA12		TOA	plot-12	Maintenance
TOA13		TOA	plot-13	Maintenance
TOA14		TOA	plot-14	Maintenance
TOA15		TOA	plot-15	Maintenance
TOA16		TOA	plot-16	Maintenance
TOA17		TOA	plot-17	Maintenance
TOA18		TOA	plot-18	Maintenance
TOA19		TOA	plot-19	Maintenance
TOA20		TOA	plot-20	Maintenance
