sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2
DL01,DL,Annual,1,363,1 year,5,6
DL02,DL,Annual,2,363,1 year,5,7
DL03,DL,Annual,3,363,1 year,10,11
DL04,DL,Annual,4,363,1 year,5,7
DL05,DL,Annual,5,363,1 year,6,8
DL06,DL,Annual,6,363,1 year,6,7
DL07,DL,Annual,7,363,1 year,5,7
DL08,DL,Annual,8,363,1 year,7,8
DL09,DL,Annual,9,363,1 year,7,8
DL10,DL,Annual,10,363,1 year,5,7
DL11,DL,Maintenance,11,63,2 months,7,9
DL12,DL,Maintenance,12,63,2 months,12,13
DL13,DL,Maintenance,13,63,2 months,8,9
DL14,DL,Maintenance,14,63,2 months,9,11
DL15,DL,Maintenance,15,63,2 months,9,12
DL16,DL,Maintenance,16,63,2 months,7,9
DL17,DL,Maintenance,17,63,2 months,9,11
DL18,DL,Maintenance,18,63,2 months,9,11
DL19,DL,Maintenance,19,63,2 months,6,8
DL20,DL,Maintenance,20,63,2 months,9,11
FOJ01,FOJ,Annual,1,362,1 year,6,7
FOJ02,FOJ,Annual,2,362,1 year,6,7
FOJ03,FOJ,Annual,3,362,1 year,5,7
FOJ04,FOJ,Annual,4,362,1 year,5,7
FOJ05,FOJ,Annual,5,362,1 year,5,7
FOJ06,FOJ,Annual,6,362,1 year,6,9
FOJ07,FOJ,Annual,7,362,1 year,6,8
FOJ08,FOJ,Annual,8,362,1 year,5,7
FOJ09,FOJ,Annual,9,362,1 year,5,6
FOJ10,FOJ,Annual,10,362,1 year,5,7
FOJ11,FOJ,Maintenance,11,460,1 year,8,9
FOJ12,FOJ,Maintenance,12,460,1 year,8,9
FOJ13,FOJ,Maintenance,13,460,1 year,7,9
FOJ14,FOJ,Maintenance,14,460,1 year,7,8
FOJ15,FOJ,Maintenance,15,460,1 year,8,10
FOJ16,FOJ,Maintenance,16,460,1 year,7,10
FOJ17,FOJ,Maintenance,17,460,1 year,6,8
FOJ18,FOJ,Maintenance,18,460,1 year,5,7
FOJ19,FOJ,Maintenance,19,460,1 year,7,8
FOJ20,FOJ,Maintenance,20,460,1 year,7,9
TOA01,TOA,Annual,1,342,1 year,6,9
TOA02,TOA,Annual,2,342,1 year,6,7
TOA03,TOA,Annual,3,342,1 year,8,9
TOA04,TOA,Annual,4,342,1 year,6,9
TOA05,TOA,Annual,5,342,1 year,6,7
TOA06,TOA,Annual,6,342,1 year,7,10
TOA07,TOA,Annual,7,342,1 year,7,9
TOA08,TOA,Annual,8,342,1 year,5,6
TOA09,TOA,Annual,9,342,1 year,6,8
TOA10,TOA,Annual,10,342,1 year,6,8
TOA11,TOA,Maintenance,11,46,2 months,7,9
TOA12,TOA,Maintenance,12,46,2 months,10,11
TOA13,TOA,Maintenance,13,46,2 months,8,10
TOA14,TOA,Maintenance,14,46,2 months,9,12
TOA15,TOA,Maintenance,15,46,2 months,7,8
TOA16,TOA,Maintenance,16,46,2 months,8,9
TOA17,TOA,Maintenance,17,46,2 months,7,9
TOA18,TOA,Maintenance,18,46,2 months,6,7
TOA19,TOA,Maintenance,19,46,2 months,8,10
TOA20,TOA,Maintenance,20,46,2 months,7,9
