ASVs,Genus,guild
067423285143316ca11b1f177cf5a3d7,Umbelopsis,soil_saprotroph
396e774ea4c0c6b00306523c80abc983,Talaromyces,unspecified_saprotroph
48d4c0cd8f365b8156984c8191ba3918,unidentified,NA
85ee501ad5fa83980ab1400b58eafb8e,Russula,ectomycorrhizal
c89b746b9cb32a8382555859e0eb5682,unidentified,NA
8bb58c8b6d6c43cd89ecfffdfc7a10db,Talaromyces,unspecified_saprotroph
3c949d3c20f2348a47ecf22a20fdb718,Bifiguratus,soil_saprotroph
343c519dfc1b76808b191b9a148c4178,Amanita,ectomycorrhizal
73eb2af6cbc22e76b358d581e7de5150,unidentified,NA
55889226c066782b085659681abf1787,Cenococcum,ectomycorrhizal
59049df23e1280af321e007b186fb441,Talaromyces,unspecified_saprotroph
cf119c2b2773fecf38f5392cd13491cd,unidentified,NA
08f84004a9a0b88ae8b0fe25a149d715,unidentified,NA
bb5dc4b22a411541d0edc8f54dd89fac,unidentified,NA
0e556d288fed546a942042bee562053c,Cladosporium,litter_saprotroph
3827456f839255ce6abc3720c55943fe,Russula,ectomycorrhizal
606cfed6920e543b190a1aa79dff9ba4,NA,NA
b759ee8098f536738031ac99f441736b,NA,NA
038230ef2580612e675b959834adecf6,NA,NA
cea2d323efffe30135cdeb019cd64288,Periconia,plant_pathogen
f6e67d6b36a4b9a60fc285dbb7ecf285,Coniochaeta,unspecified_saprotroph
d562b554e6c7ec961ee2b41edfe834bb,Amanita,ectomycorrhizal
fffe841a34f5d10d475c5c55836b1f82,NA,NA
9fb2e259c327d57db22c53340eb49521,unidentified,NA
12a6ca0b3b890a1dfd81fcc8ead05579,Bifiguratus,soil_saprotroph
6ea28d95eb45beec30c6f24c8fe2fcc1,Russula,ectomycorrhizal
9dc75ac4029c28df13f1ea8112a16a5c,NA,NA
336b38eea624fc7b18d178cb31b754ab,Paraphaeosphaeria,wood_saprotroph
1d7bf1d48ebddd07efcd858cef93ce42,Pyrenochaetopsis,foliar_endophyte
8b20728436adf186a80fdf73ce41dee2,Talaromyces,unspecified_saprotroph
0a9adf7e3ce3d004bb5fa10a3513a57a,Paraphaeosphaeria,wood_saprotroph
9a04df0863354a8bbeea3dd23bb0cca1,Geastrum,litter_saprotroph
413f3fda7b1251e9cbee49c9e2ffd4fb,unidentified,NA
61091b9173a39eca937ec98b51f9324f,Clavaria,soil_saprotroph
e72f27d650d28e6947b3ae18ad064bae,Pseudopithomyces,plant_pathogen
388e2b27bc720f428a5af668bc0c7c74,NA,NA
cfb1a170f89c469fb569d0f8d1d206f4,Saitozyma,soil_saprotroph
793b82448bfcd80b89d11e428f1dcbe7,Paraconiothyrium,wood_saprotroph
e7654ae6f50a60c4fa5a1fa18c5da3dc,NA,NA
26d9d9b26d8f3212abb86f7c967c9a7b,Inocybe,ectomycorrhizal
4cca1f4095f0211ca0cb7da54ea8b030,Umbelopsis,soil_saprotroph
3208dac70fc3b62bb86f15de033e185c,unidentified,NA
91951b2e5607db0796d7d35c9c9fc575,unidentified,NA
