obj_id,species,speciesMatched,uuid,ifungorum_number,trait_name,value
Maynard_etal_2017_1,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,30.465247
Maynard_etal_2017_2,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,43.402553
Maynard_etal_2017_3,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,30.465247
Maynard_etal_2017_4,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,31.105861
Maynard_etal_2017_5,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,31.105861
Maynard_etal_2017_6,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,30.465247
Maynard_etal_2017_7,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,43.557132
Maynard_etal_2017_8,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,44.912304
Maynard_etal_2017_9,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,44.886161
Maynard_etal_2017_10,Armillaria_gallica,Armillaria gallica,f18a12a3-89e6-4061-9dfb-da3f9a64a8d7,131162,latitude,43.773821
Maynard_etal_2017_11,Asterostroma_muscicola,Asterostroma muscicola,1cb17eca-36b9-11d5-9548-00d0592d548c,199608,latitude,18.32047
Maynard_etal_2017_12,Armillaria_sinapina,Armillaria sinapina,26af7153-e273-4821-8b6e-a6ac361bb6bf,134700,latitude,46.517665
Maynard_etal_2017_13,Armillaria_tabescens,Desarmillaria tabescens,1af4cbf9-9239-499d-81d1-5ae852fe7ee7,819125,latitude,41.022359
Maynard_etal_2017_14,Armillaria_tabescens,Desarmillaria tabescens,1af4cbf9-9239-499d-81d1-5ae852fe7ee7,819125,latitude,29.946494
Maynard_etal_2017_15,Earliella_scabrosa,Earliella scabrosa,cf0ad603-db00-49f1-8d31-c0eb71f59c36,105299,latitude,18.298306
Maynard_etal_2017_16,Fomes_fomentarius,Fomes fomentarius,e6c088c3-b354-11d5-bebb-00508bca8de8,194860,latitude,43.227069
Maynard_etal_2017_17,Hyphodontia_crustosa,Basidioradulum crustosum,1cb18e2f-36b9-11d5-9548-00d0592d548c,521705,latitude,60.734518
Maynard_etal_2017_18,Hyphoderma_setigerum,Hyphoderma setigerum,1cb18e28-36b9-11d5-9548-00d0592d548c,298779,latitude,43.557132
