"","ASVs","Genus.x","guild.x","DL01","DL02","DL03","DL04","DL05","DL06","DL07","DL08","DL09","DL10","DL11","DL12","DL13","DL14","DL15","DL16","DL17","DL18","DL19","DL20","FOJ01","FOJ02","FOJ03","FOJ04","FOJ05","FOJ06","FOJ07","FOJ08","FOJ09","FOJ10","FOJ11","FOJ12","FOJ13","FOJ14","FOJ15","FOJ16","FOJ17","FOJ18","FOJ19","FOJ20","TOA01","TOA02","TOA03","TOA04","TOA05","TOA06","TOA07","TOA08","TOA09","TOA10","TOA11","TOA12","TOA13","TOA14","TOA15","TOA16","TOA17","TOA18","TOA19","TOA20","Genus","guild.y"
"1","067423285143316ca11b1f177cf5a3d7","Umbelopsis","soil_saprotroph",5460,1444,1389,6012,975,2290,1811,2676,1679,3341,1960,912,2727,1243,18684,8947,543,7364,805,1332,1997,3770,3808,28,1159,1635,1465,7505,1621,136,888,39,329,62,2288,1860,116,2006,679,2201,4899,3756,1469,2280,2621,3737,3496,2817,2180,881,1744,1241,1256,148,1361,4836,1720,976,1362,438,"Umbelopsis","soil_saprotroph"
"2","396e774ea4c0c6b00306523c80abc983","Talaromyces","unspecified_saprotroph",350,313,682,1114,263,383,160,220,691,403,209,487,90,178,1423,1445,469,850,335,137,864,689,747,98,448,38,232,1271,277,330,65,838,6628,1864,7560,78,1133,104,47,474,188,171,264,350,239,191,548,383,227,515,474,57,450,1535,3356,1290,1961,234,916,341,"Talaromyces","unspecified_saprotroph"
"3","48d4c0cd8f365b8156984c8191ba3918","unidentified",NA,457,187,790,185,107,202,42,426,214,278,21,164,88,963,7781,1231,885,450,452,20,151,381,396,626,136,238,238,80,102,726,101,3195,667,1658,162,694,1545,270,246,61,130,16,8,96,82,47,123,108,242,297,172,66,170,5727,6810,172,1110,119,172,390,"unidentified",NA
"4","85ee501ad5fa83980ab1400b58eafb8e","Russula","ectomycorrhizal",1997,9142,1238,0,2378,0,0,1664,95,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,896,638,1480,2322,0,0,0,1385,0,8419,1629,0,3207,3033,"Russula","ectomycorrhizal"
"5","c89b746b9cb32a8382555859e0eb5682","unidentified",NA,707,421,922,67,45,244,0,2811,240,18,0,93,0,227,3045,391,562,161,182,256,1887,1137,74,975,121,304,118,924,0,430,0,161,0,97,0,2501,408,0,69,0,6299,0,68,52,0,0,3289,40,50,73,190,294,197,2710,3817,2705,994,102,0,1079,"unidentified",NA
"6","8bb58c8b6d6c43cd89ecfffdfc7a10db","Talaromyces","unspecified_saprotroph",89,158,575,123,192,73,89,243,392,50,1643,345,305,543,2208,273,871,1257,104,392,494,424,465,321,348,427,973,1102,868,3208,556,866,1366,506,1005,411,1054,89,155,244,138,49,66,150,96,63,407,201,203,100,0,212,228,692,1577,730,686,904,3014,219,"Talaromyces","unspecified_saprotroph"
"7","3c949d3c20f2348a47ecf22a20fdb718","Bifiguratus","soil_saprotroph",484,668,152,1334,764,713,353,445,37,0,644,305,515,121,776,1651,0,0,0,0,521,491,1198,0,1232,307,485,3563,225,33,0,0,0,0,101,128,0,427,63,251,1088,1782,0,45,178,201,1698,2033,1398,1501,835,0,391,37,118,3037,127,417,448,365,"Bifiguratus","soil_saprotroph"
"8","343c519dfc1b76808b191b9a148c4178","Amanita","ectomycorrhizal",3500,119,0,279,4096,5749,10,0,0,0,178,2510,0,0,0,0,0,32,254,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10589,0,0,0,0,2,0,0,242,0,0,216,4725,0,0,0,0,0,0,0,0,"Amanita","ectomycorrhizal"
"9","73eb2af6cbc22e76b358d581e7de5150","unidentified",NA,44,65,180,57,36,123,23,54,124,30,714,298,246,1459,13029,1554,125,2579,467,61,285,136,195,78,53,274,359,924,584,800,580,156,767,397,62,368,262,225,420,83,120,42,44,26,0,626,73,35,67,186,153,0,56,175,143,171,117,120,162,146,"unidentified",NA
"10","55889226c066782b085659681abf1787","Cenococcum","ectomycorrhizal",0,14,57,489,58,82,25,278,236,341,13,175,37,46,140,0,177,95,290,659,18,122,58,60,952,0,698,15,968,254,0,3056,404,868,349,110,1365,0,137,44,84,0,1145,378,163,103,415,303,10,2118,334,1024,73,494,31,8438,2013,33,250,268,"Cenococcum","ectomycorrhizal"
