"","X","ANVR","ARBE","DELI","DEOB","DIG2","DIG3","DYOB","EUPU","GAER","MIMI","PIGR","RHHA","SIXE","SOOD","SPJU","STBI","SYAD","TEFL","VAMY","VEAN","ARG1","CRRO","DIG1","GADU","HYWR","LIEG","SCIT","SYDU","TRUR","DECI","DEST","HYSU","LERE","MUG1","ASGR","RHRE","RUCU","SYCO","TESP","CHMA","SCTE","TRSM","CHNC","ORLU","SOSE","DAAL","RISC","SCCI","ACGR","SONU","CLMA","ERHR","CEVI","DE01","DEFL","RHCO","SPCL","STHU","TEVI","GAPI","GL01","GYAM","HOPR","PHHE","PRSE","RHDI","RUCA","DIVR","HIGR","PICA","QUIN","SMBO","ENSE","PTPS","VISE","IPPA","HAQU","HYHY","ANVI","DIAI","IOLI","SAAL","STSY","CRAR","DISP","ELEL","TOPU","TRDI","EUAL","PAVI","CRGL","CRCR","PASE","LEAN","LEMI","PONA","RHTO","SOTO","DIST","SOVR","X102","MURO","QUG1","RHCU","SMSM","EUCL","PAQU","CNST","ASTU","OEFR","PNG1","XX01","QUVI","STUM","LG01","OX01","PHUR","PIPA","EUHE","LEVR","DIEN","DR01","HEAN","HYCR","EDUN","RHAL","RHMA","EUHY","MOCE","RUHN","ASVE","GANA","HERA","AGAR","BREU","CRPU","SALY","COEA","CYFI","SMAU","QUNI","ASSP","GAAE","CIHO"
"1","FOJ.3",4,3,2,1,1,3,2,1,1,2,3,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","FOJ.4",4,2,3,0,0,2,2,1,1,2,3,0,1,1,0,1,2,1,2,1,2,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","FOJ.5",5,3,4,0,0,3,2,1,1,2,2,0,1,0,0,2,0,1,0,0,0,1,2,0,1,1,1,1,0,2,1,1,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","FOJ.6",1,3,2,0,1,0,3,1,1,2,3,1,1,0,0,1,1,0,0,1,1,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","FOJ.1",3,3,2,0,0,1,2,1,1,3,3,1,1,0,0,1,1,1,0,2,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,1,2,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","FOJ.2",0,3,1,0,0,2,2,1,1,2,3,0,1,0,0,1,1,3,3,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","FOJ.7",4,3,1,0,0,1,3,1,0,1,2,0,1,0,0,1,1,0,0,2,2,0,2,0,1,1,0,0,0,3,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","FOJ.8",2,4,0,2,0,3,3,1,0,2,3,0,0,0,0,1,0,2,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","FOJ.9",2,3,0,2,0,1,2,1,1,0,3,0,0,2,0,2,2,1,3,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","FOJ.10",5,3,3,0,0,2,2,1,1,2,3,0,1,0,0,1,0,0,2,1,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
