site,plot,fire_freq,gwc_percent,OM,P1,P2,K,Mg,Ca,pH,BpH,hMeq,CEC,percent_K,percent_Mg,percent _Ca,percent_H,NO3
TOA,1,Annual,3.2,3.1,6,9,25,71,402,5.8,6.9,0.6,3.3,1.9,17.9,60.9,19.3,1
TOA,2,Annual,8.7,1.5,6,7,21,57,225,5.2,6.8,0.9,2.6,2.1,18.3,43.3,36.3,1
TOA,3,Annual,13.5,2.2,8,9,23,25,109,4.8,6.6,0.7,1.5,3.9,13.9,36.3,45.9,1
TOA,4,Annual,9.3,1.9,6,9,20,38,152,5,6.7,0.8,1.9,2.7,16.7,40,40.6,1
TOA,5,Annual,11.3,1.9,6,7,23,38,197,5.1,6.8,0.8,2.2,2.7,14.4,44.8,38.1,1
TOA,6,Annual,11.2,1.7,7,10,20,35,164,5,6.7,0.8,2,2.6,14.6,41,41.8,1
TOA,7,Annual,4.1,2.5,7,9,21,74,326,5.3,6.7,1,3.3,1.6,18.7,49.4,30.3,1
TOA,8,Annual,3.1,1.4,5,6,22,56,214,5.3,6.8,0.7,2.3,2.5,20.3,46.5,30.7,1
TOA,9,Annual,4,2.2,6,8,21,77,374,5.7,6.9,0.7,3.3,1.6,19.4,56.7,22.3,3
TOA,10,Annual,4.5,2.4,6,8,35,68,333,5.4,6.8,0.9,3.2,2.8,17.7,52,27.5,1
TOA,11,Maintenance,3.2,1.8,7,9,21,64,334,5.5,6.8,0.8,3.1,1.7,17.2,53.9,27.2,1
TOA,12,Maintenance,15,4,10,11,29,46,207,4.6,6.2,1.8,3.3,2.3,11.6,31.4,54.7,2
TOA,13,Maintenance,5.6,2.7,8,10,35,66,328,5.3,6.7,1,3.3,2.7,16.7,49.7,30.9,1
TOA,14,Maintenance,4,2.7,9,12,39,79,377,5.4,6.7,1.1,3.7,2.7,17.8,50.9,28.6,1
TOA,15,Maintenance,5.3,2.8,7,8,34,81,500,5.5,6.8,1.1,4.4,2,15.3,56.8,25.9,2
TOA,16,Maintenance,3.9,2.8,8,9,32,87,431,5.5,6.7,1,4,2.1,18.1,53.9,25.9,2
TOA,17,Maintenance,4,2.5,7,9,35,96,462,5.7,6.7,0.9,4.1,2.2,19.5,56.3,22,2
TOA,18,Maintenance,5.2,2.1,6,7,30,78,328,5.4,6.7,0.9,3.3,2.3,19.7,49.7,28.3,2
TOA,19,Maintenance,6.1,4.1,8,10,41,176,689,5.7,6.5,1.3,6.3,1.7,23.3,54.7,20.3,3
TOA,20,Maintenance,3.6,2.1,7,9,23,69,310,5.5,6.7,0.8,3,2,19.2,51.7,27.1,1
